Compound,Date,Negative,Neutral,Positive,Source,Tweet,Tweets Ago
0.875,Tue Mar 20 16:27:57 +0000 2018,0.643,0.0,0.357,@CBSNews,“Our team has done an unbelievably through job...Let me say this with a great deal of confidence. It is clear that… https://t.co/j3ocCqduou,25
-0.25,Tue Mar 20 16:26:28 +0000 2018,0.608,0.23,0.162,@CBSNews,WATCH: Senators hold press conference on election security threat  https://t.co/RvqEUddxMe https://t.co/99lLslw5mS,26
-0.0258,Tue Mar 20 15:38:56 +0000 2018,0.791,0.107,0.102,@CBSNews,One female student is in critical condition. One male student in stable condition. The shooter was confirmed deceas… https://t.co/sME78K7O5L,27
0.4767,Tue Mar 20 15:36:25 +0000 2018,0.814,0.0,0.186,@CBSNews,"""We talk about school safety, school response, weekly. In fact, we have done a number of parent meetings and commun… https://t.co/bbi85uj4ZJ",28
-0.3182,Tue Mar 20 15:33:45 +0000 2018,0.909,0.091,0.0,@CBSNews,“I know there are a lot of things out there on social media about the shooter and any of the victims. At this time… https://t.co/vBXUMfu3Lr,29
0.4019,Tue Mar 20 15:31:20 +0000 2018,0.863,0.0,0.137,@CBSNews,"“Our school resource officer who was stationed inside the school was alerted...he pursued the shooter, engaged the… https://t.co/feiXaT12n8",30
0.0,Tue Mar 20 15:29:37 +0000 2018,1.0,0.0,0.0,@CBSNews,WATCH: Officials give update on school shooting at a high school in Maryland https://t.co/n77utODxMu https://t.co/kMNfqFDZKE,31
-0.6124,Tue Mar 20 15:23:27 +0000 2018,0.792,0.208,0.0,@CBSNews,"""Right now, we have no indications that there are any issues of threats to the public,"" Schertz, Texas, officials s… https://t.co/jSHm3duZT1",32
0.4939,Tue Mar 20 15:18:08 +0000 2018,0.856,0.0,0.144,@CBSNews,"""It is very early in the investigation, obviously. But we are confident that neither this facility nor any location… https://t.co/cVMNpKUXC4",33
0.3818,Tue Mar 20 15:15:01 +0000 2018,0.516,0.21,0.274,@CBSNews,Supreme Court is hearing arguments in a free speech fight over California's attempt to regulate anti-abortion crisi… https://t.co/qWMPW9jTqy,34
0.0,Tue Mar 20 15:14:12 +0000 2018,1.0,0.0,0.0,@CBSNews,"WATCH: Officials give updates on Texas bombing at a FedEx facility near San Antonio, and other similar incidents… https://t.co/jQF7dRpnGi",35
0.4215,Tue Mar 20 15:00:02 +0000 2018,0.872,0.0,0.128,@CBSNews,"United Airlines halts pet shipments after animal mishaps, such as an incident in which dog landed in Japan instead… https://t.co/4z66TuVJz4",36
0.0,Tue Mar 20 14:45:01 +0000 2018,1.0,0.0,0.0,@CBSNews,"Maryland high school shooting: 
School resource officer exchanged shots with the shooter, the sheriff said. The sho… https://t.co/VkNM7rpvlM",37
0.0,Tue Mar 20 14:32:01 +0000 2018,1.0,0.0,0.0,@CBSNews,"Stream all episodes of ""Mister Rogers' Neighborhood"" on Twitch on Rogers' 90th birthday https://t.co/dEtJmDUmQd https://t.co/HLi7sykNDO",38
0.0,Tue Mar 20 14:01:27 +0000 2018,1.0,0.0,0.0,@CBSNews,Philanthropist and Microsoft co-founder Paul Allen announces discovery of wreckage of a sunken military ship on whi… https://t.co/plICqV7GG2,39
